ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
327.447985,-70.455057,25.148,0.022,-0.022,0.0,-27.528,0.024,-0.024,0.0,4.1287427,0.0004288,-0.0004288,0,2.7601938,0.1219182,-0.1219182,0,12670.8512175,479.27368,-479.27368,0,12.0296829,0.8989307,-0.8989307,0,352.7366563,1105.3056703,12.7602,0.006,-0.006,0,463.744,3.714,-3.714,0,5377.0,132.736,-132.736,0,4.34978,0.0835442,-0.0835442,0,1.06754,0.0600302,-0.0600302,0
298.219091,37.773773,-8.493,0.032,-0.032,0.0,-10.577,0.031,-0.031,0.0,7.6316525,1.13e-05,-1.13e-05,0,3.452,0.118,-0.118,0,30467.0,770.103,-770.103,0,15.8297,0.7174066,-0.7174066,0,114.247,910.0,13.4783,0.008,-0.008,0,608.197,7.6955,-7.6955,0,5655.0,123.0,-123.0,0,4.48,0.08456055000000001,-0.08456055000000001,0,0.95,0.06,-0.06,0
318.360827,-66.481594,18.764,0.029,-0.029,0.0,-35.089,0.04,-0.04,0.0,4.2955192,1.55e-05,-1.55e-05,0,2.874,0.11,-0.11,0,20630.0,6.38738,-6.38738,0,13.6703,0.705699,-0.705699,0,302.917,1162.0,12.3525,0.006,-0.006,0,396.881,4.2775,-4.2775,0,5875.0,130.2,-130.2,0,4.51,0.08,-0.08,0,0.95,0.05,-0.05,0
254.662151,83.271745,-22.902,0.075,-0.075,0.0,25.437,0.101,-0.101,0.0,2.4141149,8.6e-06,-8.6e-06,0,1.329,0.288,-0.288,0,10760.0,799.733,-799.733,0,5.83132,0.355162,-0.355162,0,29.5308,649.0,14.2442,0.007,-0.007,0,229.246,2.2465,-2.2465,0,3438.0,157.0,-157.0,0,4.64,0.01,-0.01,0,0.61,0.02,-0.02,0
335.300845,59.560814,-1.229,0.065,-0.065,0.0,-1.765,0.063,-0.063,0.0,1.9173816,5e-06,-5e-06,0,1.466,0.208,-0.208,0,664.0,40.4459,-40.4459,0,17.5081,0.7174066,-0.7174066,0,1941.36,1849.0,9.7736,0.032,-0.032,0,975.533,39.1355,-39.1355,0,8129.0,122.0,-122.0,0,4.33,0.08456055000000001,-0.08456055000000001,0,7.39,0.06,-0.06,0
131.106996,1.859893,-23.48,0.073,-0.073,0.0,-31.653,0.056,-0.056,0.0,1.4468993,5.8e-06,-5.8e-06,0,0.779,0.301,-0.301,0,549.0,1853.43,-1853.43,0,4.98711,1.59253,-1.59253,0,1452.18,1719.0,10.0471,0.006,-0.006,0,100.588,0.4865,-0.4865,0,5238.0,104.524,-104.524,0,4.54438,0.0758968,-0.0758968,0,0.84,0.04,-0.04,0
136.221429,79.355104,24.31,0.039,-0.039,0.0,-27.61,0.049,-0.049,0.0,1.2833113,5.4e-06,-5.4e-06,0,1.353,0.191,-0.191,0,4450.0,8.9606,-8.9606,0,9.39506,0.560254,-0.560254,0,3343.46,2118.0,12.574,0.007,-0.007,0,974.619,24.9615,-24.9615,0,8055.0,120.7,-120.7,0,4.49,0.08,-0.08,0,1.32,0.05,-0.05,0
326.381404,-51.564785,47.331,0.052,-0.052,0.0,-39.851,0.046,-0.046,0.0,2.8625937,1.87e-05,-1.87e-05,0,2.6639389,0.4280763,-0.4280763,0,150.7007612,19.651846,-19.651846,0,1.1780056,1.3740616,-1.3740616,0,465.8154756,1184.8768866,9.3703,0.006,-0.006,0,90.2461,0.29625,-0.29625,0,5503.0,126.761,-126.761,0,4.48743,0.0773201,-0.0773201,0,0.930478,0.048995,-0.048995,0
93.095903,12.838602,0.484,0.05,-0.05,0.0,-0.289,0.047,-0.047,0.0,3.5678072,3.4e-05,-3.4e-05,0,2.968,0.176,-0.176,0,17670.0,2961.66,-2961.66,0,34.7616,0.7174066,-0.7174066,0,4074.35,2225.0,13.3162,0.026,-0.026,0,1421.29,57.345,-57.345,0,7819.0,123.0,-123.0,0,4.24,0.08456055000000001,-0.08456055000000001,0,1.71,0.06,-0.06,0
174.323105,11.167346,-18.054,0.079,-0.079,0.0,-8.459,0.059,-0.059,0.0,8.2077264,0.0001515,-0.0001515,0,4.4353335,0.4929054,-0.4929054,0,667.6868432,100.51115,-100.51115,0,3.816863,0.4270947,-0.4270947,0,241.5964564,1005.5238813,10.5591,0.006,-0.006,0,228.546,2.44,-2.44,0,6057.0,127.331,-127.331,0,4.35121,0.0811539,-0.0811539,0,1.1743,0.0554774,-0.0554774,0
